customer_id,name,dob,country,occupation,account_open_date,kyc_status,customer_type
C0001,allison hill,1954-09-13,mexico,teacher,2021-09-12,verified,retail
C0002,megan mcclain,1945-06-05,us,business owner,2024-02-06,verified,retail
C0003,brandon hall,1980-06-24,uk,teacher,2020-09-26,verified,retail
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail
C0005,donald booth,1991-02-24,canada,business owner,2021-11-14,verified,retail
C0006,gina moore,2004-08-25,uk,doctor,2023-05-17,pending,retail
C0007,james howard,1962-12-02,canada,engineer,2022-10-05,verified,corporate
C0008,monica herrera,2005-09-24,us,engineer,2023-09-25,flagged,corporate
C0009,edward fuller,1999-10-08,us,student,2023-08-03,verified,corporate
C0010,michele williams,,mexico,teacher,2022-12-22,verified,retail
C0011,dr. sharon james,1970-05-14,germany,student,2023-08-13,verified,corporate
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate
C0013,carolyn daniel,1950-08-19,uk,business owner,2024-06-11,verified,retail
C0014,william bowman,1977-05-31,canada,teacher,2022-05-19,pending,retail
C0015,sarah parsons,1955-02-06,us,student,2020-10-13,verified,corporate
C0016,jennifer jones,2001-08-26,us,doctor,2025-05-03,verified,corporate
C0017,emily rios,1966-06-08,canada,business owner,2024-05-31,verified,retail
C0018,charles mcgee,1976-03-10,uk,engineer,2022-09-30,verified,corporate
C0019,jessyca silva,1964-02-23,us,business owner,2022-05-18,verified,retail
C0020,brenda snyder phd,1998-02-09,mexico,teacher,2021-06-11,verified,retail
C0021,christopher becker,1980-02-05,russia,student,2021-01-19,verified,retail
C0022,kyle mcdonald,1956-08-14,brazil,unemployed,2025-03-20,pending,corporate
C0023,alexandra le,1985-11-26,us,student,2025-01-29,verified,corporate
C0024,patricia peterson,1959-06-26,us,engineer,2024-03-17,verified,corporate
C0025,aaron bowen,1988-06-26,canada,student,2022-10-02,pending,corporate
C0026,pamela romero,1946-10-02,us,engineer,2023-01-19,verified,retail
C0027,katie gonzalez,1964-12-15,canada,teacher,2021-11-19,verified,retail
C0028,paula moreno,1939-07-21,canada,student,2023-04-09,pending,corporate
C0029,brian cox dvm,1994-05-31,us,student,2023-02-16,verified,retail
C0030,david bradley,1944-11-14,mexico,teacher,2021-03-29,pending,corporate
C0031,rose spence,,canada,doctor,2021-07-31,verified,corporate
C0032,john pierce,1957-07-20,us,teacher,2024-12-31,flagged,corporate
C0033,jenny lewis,1976-03-18,germany,engineer,2022-03-22,verified,retail
C0034,jennifer powers,1964-12-03,china,doctor,2024/03/28,pending,retail
C0035,jocelyn wright,1943-11-14,us,engineer,2023-05-22,verified,retail
C0036,julian chapman,1940-01-01,uk,student,2021-02-11,verified,corporate
C0037,amy jones,1941-08-25,china,doctor,2023-04-28,verified,retail
C0038,david caldwell,1954-02-02,china,teacher,2025-02-05,verified,corporate
C0039,timothy duncan,1971-09-05,russia,unemployed,2022-07-30,verified,retail
C0040,rhonda lee,1946-02-09,mexico,unemployed,2024/03/06,verified,corporate
C0041,jason shields,1943-03-14,germany,unemployed,2021/05/07,verified,retail
C0042,nicholas mcbride,1946-12-12,canada,student,2022-08-17,flagged,corporate
C0043,joshua taylor,1951-12-31,uk,unemployed,2022-11-18,verified,retail
C0044,shannon jones,1994-07-01,us,doctor,2025-03-11,verified,retail
C0045,matyhew fernandez,1940-07-07,uk,teacher,2021-04-21,verified,retail
C0046,sarah martin,1972-07-23,us,teacher,2024-08-09,pending,retail
C0047,james brown,1965-04-20,uk,doctor,2020-07-12,verified,retail
C0048,mrs. rachel gibson,1968-04-18,uk,business owner,2025-03-28,pending,corporate
C0049,katelyn lee,1954-04-29,us,student,2021-01-03,pending,retail
C0050,kimberly adkins,1943-05-27,us,business owner,2020-12-08,verified,corporate
C0051,kathryn farrell,1950-03-24,uk,business owner,2020-12-29,verified,retail
C0052,angela lopez,1980-01-02,us,business owner,2021-02-02,verified,retail
C0053,cynthia wilson,2000-02-05,us,engineer,2025-05-10,verified,retail
C0054,kristopher harvey,1968-01-15,uk,doctor,2025-06-23,verified,retail
C0055,emily green,1985-02-01,uk,unemployed,2023-03-09,verified,retail
C0056,james powers,1959-12-05,germany,engineer,2024/05/26,verified,corporate
C0057,paul jones,1970-09-12,uk,student,2025/04/20,pending,retail
C0058,angel lewis md,2003-01-08,us,student,2023-06-25,verified,corporate
C0059,sherry wood,1950-03-31,us,business owner,2024-03-28,flagged,corporate
C0060,michele carr,2006-09-10,us,doctor,2025-01-04,verified,retail
C0061,robert evans,1984-08-27,uk,unemployed,2021-05-23,verified,corporate
C0062,brandy wilson,1946-10-18,us,unemployed,2025-03-20,verified,retail
C0063,douglas clark,1962-11-05,us,unemployed,2022-03-30,verified,retail
C0064,yarah wagner,1956-08-07,us,teacher,2020-12-10,verified,retail
C0065,jeff hill,1939-10-03,uk,unemployed,2023-05-08,verified,retail
C0066,mandy green,1989-12-14,mexico,student,2024-04-08,verified,corporate
C0067,jessica smith,1944-08-19,brazil,not provided,2021-10-12,verified,corporate
C0068,sandra aguilar,1949-08-03,us,not provided,2024-03-02,verified,corporate
C0069,eric nolan,,uk,teacher,2020-11-06,verified,retail
C0070,christine wright,1946-07-04,us,engineer,2023-07-09,verified,retail
C0071,stacey russell,1981-09-30,brazil,teacher,2021-10-29,pending,corporate
C0072,cynthia martin,1993-12-11,us,student,2022-01-07,pending,corporate
C0073,allison doyle,1962-02-12,mexico,business owner,2024-01-06,verified,corporate
