customer_id,name,dob,country,occupation,account_open_date,kyc_status,customer_type,transaction_id,date,amount_usd,transaction_country,merchant,channel,risk_level
C0001,allison hill,1954-09-13,mexico,teacher,2021-09-12,verified,retail,T00368,2024-08-07,4715.15,us,bestbuy,wire,
C0001,allison hill,1954-09-13,mexico,teacher,2021-09-12,verified,retail,T00875,2025-04-19,51.43,canada,luxury retailer,in-person,
C0001,allison hill,1954-09-13,mexico,teacher,2021-09-12,verified,retail,T01157,2024-08-14,345.39,brazil,ebay,wire,
C0002,megan mcclain,1945-06-05,us,business owner,2024-02-06,verified,retail,T01159,2025/05/10,4109.01,uk,not recorded,wire,
C0003,brandon hall,1980-06-24,uk,teacher,2020-09-26,verified,retail,T00475,2024-10-29,150029.0,mexico,amazon,in-person,
C0003,brandon hall,1980-06-24,uk,teacher,2020-09-26,verified,retail,T00708,2025-03-12,3320.14,russia,walmart,wire,
C0003,brandon hall,1980-06-24,uk,teacher,2020-09-26,verified,retail,T01035,2025.03.18,160.15,us,amazon,in-person,
C0003,brandon hall,1980-06-24,uk,teacher,2020-09-26,verified,retail,T01493,2025-05-12,515.65,us,ebay,wire,
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail,T00015,2025-04-08,401.36,us,amazon,wire,
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail,T00441,2024-09-09,177.31,uk,ebay,wire,
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail,T00613,2024/11/16,1977.19,mexico,ebay,in-person,
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail,T00696,2024-08-15,1886.4,us,amazon,wire,
C0004,michelle miles,1968-01-23,us,unemployed,2022-05-21,verified,retail,T00877,2024-08-21,2517.37,us,amazon,wire,
C0005,donald booth,1991-02-24,canada,business owner,2021-11-14,verified,retail,T00105,2025-06-05,4762.53,canada,amazon,wire,
C0005,donald booth,1991-02-24,canada,business owner,2021-11-14,verified,retail,T00435,2024-10-27,175.71,us,amazon,online,
C0005,donald booth,1991-02-24,canada,business owner,2021-11-14,verified,retail,T00506,2025-05-17,354.95,china,ebay,online,
C0005,donald booth,1991-02-24,canada,business owner,2021-11-14,verified,retail,T00801,2025-02-03,2456.79,canada,walmart,in-person,
C0006,gina moore,2004-08-25,uk,doctor,2023-05-17,pending,retail,T00017,2025-03-09,725.51,us,bestbuy,online,
C0006,gina moore,2004-08-25,uk,doctor,2023-05-17,pending,retail,T00798,2025-02-11,1665.43,us,walmart,online,
C0007,james howard,1962-12-02,canada,engineer,2022-10-05,verified,corporate,T00131,2025-02-14,1080.55,us,bestbuy,online,
C0007,james howard,1962-12-02,canada,engineer,2022-10-05,verified,corporate,T00982,2024-07-23,2947.3,us,unknown vendor,in-person,
C0007,james howard,1962-12-02,canada,engineer,2022-10-05,verified,corporate,T01137,2024-10-10,3810.4,us,ebay,in-person,
C0008,monica herrera,2005-09-24,us,engineer,2023-09-25,flagged,corporate,T00720,2025-04-12,2625.1,canada,amazon,online,
C0008,monica herrera,2005-09-24,us,engineer,2023-09-25,flagged,corporate,T00911,2024-10-16,1784.64,us,walmart,wire,
C0009,edward fuller,1999-10-08,us,student,2023-08-03,verified,corporate,T00876,2024-09-12,339.57,uk,luxury retailer,wire,
C0009,edward fuller,1999-10-08,us,student,2023-08-03,verified,corporate,T01236,2024-07-29,919.4,us,bestbuy,in-person,
C0010,michele williams,,mexico,teacher,2022-12-22,verified,retail,T00482,2025-05-19,2379.8,us,walmart,online,
C0010,michele williams,,mexico,teacher,2022-12-22,verified,retail,T01156,2025-01-01,2794.44,china,amazon,in-person,
C0010,michele williams,,mexico,teacher,2022-12-22,verified,retail,T01340,2025-02-24,62.26,canada,walmart,online,
C0011,dr. sharon james,1970-05-14,germany,student,2023-08-13,verified,corporate,T01399,2025-03-01,1920.2,uk,amazon,in-person,
C0011,dr. sharon james,1970-05-14,germany,student,2023-08-13,verified,corporate,T01447,2025-04-07,2359.38,mexico,crypto exchange,online,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T00034,2024-09-16,5947.38,us,not recorded,in-person,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T00812,2024-10-15,3651.44,us,amazon,wire,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T00878,2024-07-10,2151.3,canada,crypto exchange,wire,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T01038,2025-04-18,2580.27,uk,bestbuy,online,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T01262,2025-06-25,3194.61,us,luxury retailer,in-person,
C0012,henry santiago,1987-04-09,russia,unemployed,2021-02-12,pending,corporate,T01265,2024-11-07,23.38,china,amazon,in-person,
C0013,carolyn daniel,1950-08-19,uk,business owner,2024-06-11,verified,retail,T00293,2025-01-22,3458.7,us,bestbuy,in-person,
C0013,carolyn daniel,1950-08-19,uk,business owner,2024-06-11,verified,retail,T00608,2024-08-25,905.96,us,bestbuy,online,
C0013,carolyn daniel,1950-08-19,uk,business owner,2024-06-11,verified,retail,T00905,2024-11-13,1094.37,canada,amazon,wire,
C0013,carolyn daniel,1950-08-19,uk,business owner,2024-06-11,verified,retail,T01171,2024-11-27,1919.06,canada,ebay,wire,
C0014,william bowman,1977-05-31,canada,teacher,2022-05-19,pending,retail,T01112,2025-05-01,508.34,us,amazon,in-person,
C0014,william bowman,1977-05-31,canada,teacher,2022-05-19,pending,retail,T01394,2025-04-06,1467.0,canada,ebay,wire,
C0015,sarah parsons,1955-02-06,us,student,2020-10-13,verified,corporate,,,,,,,
C0016,jennifer jones,2001-08-26,us,doctor,2025-05-03,verified,corporate,T00942,2024-07-10,1615.67,canada,unknown vendor,wire,
C0016,jennifer jones,2001-08-26,us,doctor,2025-05-03,verified,corporate,T01058,2024-12-13,1028.1,us,amazon,wire,
C0017,emily rios,1966-06-08,canada,business owner,2024-05-31,verified,retail,T00361,2025-03-24,982.6,us,bestbuy,in-person,
C0017,emily rios,1966-06-08,canada,business owner,2024-05-31,verified,retail,T00570,2024-10-22,856.21,us,bestbuy,in-person,
C0017,emily rios,1966-06-08,canada,business owner,2024-05-31,verified,retail,T00749,2024-08-07,4738.99,uk,not recorded,in-person,
