customer_id,name,dob,country,occupation,account_open_date,kyc_status,customer_type
C0001,Allison Hill,1954-09-13,MEXICO,Teacher,2021-09-12,Verified,Retail
C0002,Megan Mcclain,1945-06-05,US,Business Owner,2024-02-06,Verified,Retail
C0003,Brandon Hall,1980-06-24,UK,Teacher,2020-09-26,Verified,Retail
C0004,Michelle Miles,1968-01-23,US,Unemployed,2022-05-21,Verified,Retail
C0005,Donald Booth,1991-02-24,CANADA,Business Owner,2021-11-14,Verified,Retail
C0006,Gina Moore,2004-08-25,UK,Doctor,2023-05-17,Pending,Retail
C0007,James Howard,1962-12-02,canada,Engineer,2022-10-05,Verified,Corporate
C0008,Monica Herrera,2005-09-24,us,Engineer,2023-09-25,Flagged,Corporate
C0009,Edward Fuller,1999-10-08,US,Student,2023-08-03,Verified,Corporate
C0010,Michele Williams,,Mexico,Teacher,2022-12-22,Verified,Retail
C0011,Dr. Sharon James,1970-05-14,GERMANY,Student,2023-08-13,Verified,Corporate
C0012,Henry Santiago,1987-04-09,Russia,Unemployed,2021-02-12,Pending,Corporate
C0013,Carolyn Daniel,1950-08-19,UK,Business Owner,2024-06-11,Verified,Retail
C0014,William Bowman,1977-05-31,Canada,Teacher,2022-05-19,Pending,Retail
C0015,Sarah Parsons,1955-02-06,us,Student,2020-10-13,Verified,Corporate
C0016,Jennifer Jones,2001-08-26,us,Doctor,2025-05-03,Verified,Corporate
C0017,Emily Rios,1966-06-08,Canada,Business Owner,2024-05-31,Verified,Retail
C0018,Charles Mcgee,1976-03-10,UK,Engineer,2022-09-30,Verified,Corporate
C0019,Jessyca Silva,1964-02-23,US,Business Owner,2022-05-18,Verified,Retail
C0020,Brenda Snyder PhD,1998-02-09,Mexico,Teacher,2021-06-11,Verified,Retail
C0021,Christopher Becker,1980-02-05,Russia,Student,2021-01-19,Verified,Retail
C0022,Kyle Mcdonald,1956-08-14,Brazil,Unemployed,2025-03-20,Pending,Corporate
C0023,Alexandra Le,1985-11-26,US,Student,2025-01-29,Verified,Corporate
C0024,Patricia Peterson,1959-06-26,US,Engineer,2024-03-17,Verified,Corporate
C0025,Aaron Bowen,1988-06-26,canada,Student,2022-10-02,Pending,Corporate
C0026,Pamela Romero,1946-10-02,US,Engineer,2023-01-19,Verified,Retail
C0027,Katie Gonzalez,1964-12-15,Canada,Teacher,2021-11-19,Verified,Retail
C0028,Paula Moreno,1939-07-21,Canada,Student,2023-04-09,,Corporate
C0029,Brian Cox DVM,1994-05-31,US,Student,2023-02-16,Verified,Retail
C0030,David Bradley,1944-11-14,Mexico,Teacher,2021-03-29,,Corporate
C0031,Rose Spence,,CANADA,Doctor,2021-07-31,Verified,Corporate
C0032,John Pierce,1957-07-20,US,Teacher,2024-12-31,Flagged,Corporate
C0033,Jenny Lewis,1976-03-18,Germany,Engineer,2022-03-22,Verified,Retail
C0034,Jennifer Powers,1964-12-03,China,Doctor,2024/03/28,Pending,Retail
C0035,Jocelyn Wright,1943-11-14,US,Engineer,2023-05-22,Verified,Retail
C0036,Julian Chapman,1940-01-01,UK,Student,2021-02-11,Verified,Corporate
C0037,Amy Jones,1941-08-25,china,Doctor,2023-04-28,Verified,Retail
C0038,David Caldwell,1954-02-02,CHINA,Teacher,2025-02-05,Verified,Corporate
C0039,Timothy Duncan,1971-09-05,Russia,Unemployed,2022-07-30,Verified,Retail
C0040,Rhonda Lee,1946-02-09,Mexico,Unemployed,2024/03/06,Verified,Corporate
C0041,Jason Shields,1943-03-14,Germany,Unemployed,2021/05/07,Verified,Retail
C0042,Nicholas Mcbride,1946-12-12,Canada,Student,2022-08-17,Flagged,Corporate
C0043,Joshua Taylor,1951-12-31,UK,Unemployed,2022-11-18,Verified,Retail
C0044,Shannon Jones,1994-07-01,US,Doctor,2025-03-11,Verified,Retail
C0045,Matyhew Fernandez,1940-07-07,UK,Teacher,2021-04-21,Verified,Retail
C0046,Sarah Martin,1972-07-23,US,Teacher,2024-08-09,Pending,Retail
C0047,James Brown,1965-04-20,UK,Doctor,2020-07-12,Verified,Retail
C0048,Mrs. Rachel Gibson,1968-04-18,uk,Business Owner,2025-03-28,,Corporate
C0049,Katelyn Lee,1954-04-29,us,Student,2021-01-03,Pending,Retail
C0050,Kimberly Adkins,1943-05-27,us,Business Owner,2020-12-08,Verified,Corporate
C0051,Kathryn Farrell,1950-03-24,UK,Business Owner,2020-12-29,Verified,Retail
C0052,Angela Lopez,1980-01-02,US,Business Owner,2021-02-02,Verified,Retail
C0053,Cynthia Wilson,2000-02-05,US,Engineer,2025-05-10,Verified,Retail
C0054,Kristopher Harvey,1968-01-15,UK,Doctor,2025-06-23,Verified,Retail
C0055,Emily Green,1985-02-01,UK,Unemployed,2023-03-09,Verified,Retail
C0056,James Powers,1959-12-05,Germany,Engineer,2024/05/26,Verified,Corporate
C0057,Paul Jones,1970-09-12,UK,Student,2025/04/20,Pending,Retail
C0058,Angel Lewis MD,2003-01-08,US,Student,2023-06-25,Verified,Corporate
C0059,Sherry Wood,1950-03-31,US,Business Owner,2024-03-28,Flagged,Corporate
C0060,Michele Carr,2006-09-10,US,Doctor,2025-01-04,Verified,Retail
C0061,Robert Evans,1984-08-27,UK,Unemployed,2021-05-23,Verified,Corporate
C0062,Brandy Wilson,1946-10-18,us,Unemployed,2025-03-20,Verified,Retail
C0063,Douglas Clark,1962-11-05,US,Unemployed,2022-03-30,Verified,Retail
